ADNI,MAYO,NACC
RIGHT_PUTAMEN,Putamen_R,
RIGHT_THALAMUS_PROPER,Thalamus_R,
RIGHT_VENTRALDC,,
RIGHT_VESSEL,,
VENTRICLE_3RD,,THIRVENT
VENTRICLE_4TH,,
VENTRICLE_5TH,,LATVENT
WM_HYPOINTENSITIES,,WMHVOL
inferior_cerebgm,Cerebellum_Crus2_L Cerebellum_Crus2_R Cerebellum_7b_L Cerebellum_7b_R Cerebellum_8_L Cerebellum_8_R Cerebellum_9_L Cerebellum_9_R Cerebellum_10_L Cerebellum_10_R,
whole_cerebellum,Cerebellum_10_L Cerebellum_10_R Cerebellum_3_L Cerebellum_3_R Cerebellum_4_5_L Cerebellum_4_5_R Cerebellum_6_L Cerebellum_6_R Cerebellum_7b_L Cerebellum_7b_R Cerebellum_8_L Cerebellum_8_R Cerebellum_9_L Cerebellum_9_R Cerebellum_Crus1_L Cerebellum_Crus1_R Cerebellum_Crus2_L Cerebellum_Crus2_R Vermis_1_2 Vermis_10 Vermis_3 Vermis_4_5 Vermis_6 Vermis_7 Vermis_8 Vermis_9,CEREALL
ICV,,NACCICV
wholebrain,,NACCBRNV
CEREBELLUM_CORTEX,,CEREGR
CEREBELLUM_WHITE_MATTER,,CEREWH
CEREBRAL_WHITE_MATTER,,WHITEVOL
